t,n_bits,p,prep_init,cost_total,prep_in_mixers,reflection_anc,reflection_noanc,total_depth_anc,total_depth_noanc,n_ancillas_anc
1,8,6,495,6,5940,54,102,6495,6543,7
2,16,6,495,6,5940,66,198,6507,6639,15
3,24,6,495,6,5940,78,294,6519,6735,23
4,32,6,495,6,5940,78,390,6519,6831,31
5,40,6,495,6,5940,90,486,6531,6927,39
6,48,6,495,6,5940,90,582,6531,7023,47
7,56,6,495,6,5940,90,678,6531,7119,55
8,64,6,495,6,5940,90,774,6531,7215,63
9,72,6,495,6,5940,102,870,6543,7311,71
10,80,6,495,6,5940,102,966,6543,7407,79
11,88,6,495,6,5940,102,1062,6543,7503,87
12,96,6,495,6,5940,102,1158,6543,7599,95
13,104,6,495,6,5940,102,1254,6543,7695,103
14,112,6,495,6,5940,102,1350,6543,7791,111
15,120,6,495,6,5940,102,1446,6543,7887,119
16,128,6,495,6,5940,102,1542,6543,7983,127
17,136,6,495,6,5940,114,1638,6555,8079,135
18,144,6,495,6,5940,114,1734,6555,8175,143
19,152,6,495,6,5940,114,1830,6555,8271,151
20,160,6,495,6,5940,114,1926,6555,8367,159
21,168,6,495,6,5940,114,2022,6555,8463,167
22,176,6,495,6,5940,114,2118,6555,8559,175
23,184,6,495,6,5940,114,2214,6555,8655,183
24,192,6,495,6,5940,114,2310,6555,8751,191
25,200,6,495,6,5940,114,2406,6555,8847,199
26,208,6,495,6,5940,114,2502,6555,8943,207
27,216,6,495,6,5940,114,2598,6555,9039,215
28,224,6,495,6,5940,114,2694,6555,9135,223
29,232,6,495,6,5940,114,2790,6555,9231,231
30,240,6,495,6,5940,114,2886,6555,9327,239
31,248,6,495,6,5940,114,2982,6555,9423,247
32,256,6,495,6,5940,114,3078,6555,9519,255
33,264,6,495,6,5940,126,3174,6567,9615,263
34,272,6,495,6,5940,126,3270,6567,9711,271
35,280,6,495,6,5940,126,3366,6567,9807,279
36,288,6,495,6,5940,126,3462,6567,9903,287
37,296,6,495,6,5940,126,3558,6567,9999,295
38,304,6,495,6,5940,126,3654,6567,10095,303
39,312,6,495,6,5940,126,3750,6567,10191,311
40,320,6,495,6,5940,126,3846,6567,10287,319
41,328,6,495,6,5940,126,3942,6567,10383,327
42,336,6,495,6,5940,126,4038,6567,10479,335
43,344,6,495,6,5940,126,4134,6567,10575,343
44,352,6,495,6,5940,126,4230,6567,10671,351
45,360,6,495,6,5940,126,4326,6567,10767,359
46,368,6,495,6,5940,126,4422,6567,10863,367
47,376,6,495,6,5940,126,4518,6567,10959,375
48,384,6,495,6,5940,126,4614,6567,11055,383
49,392,6,495,6,5940,126,4710,6567,11151,391
50,400,6,495,6,5940,126,4806,6567,11247,399
51,408,6,495,6,5940,126,4902,6567,11343,407
52,416,6,495,6,5940,126,4998,6567,11439,415
53,424,6,495,6,5940,126,5094,6567,11535,423
54,432,6,495,6,5940,126,5190,6567,11631,431
55,440,6,495,6,5940,126,5286,6567,11727,439
56,448,6,495,6,5940,126,5382,6567,11823,447
57,456,6,495,6,5940,126,5478,6567,11919,455
58,464,6,495,6,5940,126,5574,6567,12015,463
59,472,6,495,6,5940,126,5670,6567,12111,471
60,480,6,495,6,5940,126,5766,6567,12207,479
61,488,6,495,6,5940,126,5862,6567,12303,487
62,496,6,495,6,5940,126,5958,6567,12399,495
63,504,6,495,6,5940,126,6054,6567,12495,503
64,512,6,495,6,5940,126,6150,6567,12591,511
65,520,6,495,6,5940,138,6246,6579,12687,519
66,528,6,495,6,5940,138,6342,6579,12783,527
67,536,6,495,6,5940,138,6438,6579,12879,535
68,544,6,495,6,5940,138,6534,6579,12975,543
69,552,6,495,6,5940,138,6630,6579,13071,551
70,560,6,495,6,5940,138,6726,6579,13167,559
71,568,6,495,6,5940,138,6822,6579,13263,567
72,576,6,495,6,5940,138,6918,6579,13359,575
73,584,6,495,6,5940,138,7014,6579,13455,583
74,592,6,495,6,5940,138,7110,6579,13551,591
75,600,6,495,6,5940,138,7206,6579,13647,599
76,608,6,495,6,5940,138,7302,6579,13743,607
77,616,6,495,6,5940,138,7398,6579,13839,615
78,624,6,495,6,5940,138,7494,6579,13935,623
79,632,6,495,6,5940,138,7590,6579,14031,631
80,640,6,495,6,5940,138,7686,6579,14127,639
81,648,6,495,6,5940,138,7782,6579,14223,647
82,656,6,495,6,5940,138,7878,6579,14319,655
83,664,6,495,6,5940,138,7974,6579,14415,663
84,672,6,495,6,5940,138,8070,6579,14511,671
85,680,6,495,6,5940,138,8166,6579,14607,679
86,688,6,495,6,5940,138,8262,6579,14703,687
87,696,6,495,6,5940,138,8358,6579,14799,695
88,704,6,495,6,5940,138,8454,6579,14895,703
89,712,6,495,6,5940,138,8550,6579,14991,711
90,720,6,495,6,5940,138,8646,6579,15087,719
91,728,6,495,6,5940,138,8742,6579,15183,727
92,736,6,495,6,5940,138,8838,6579,15279,735
93,744,6,495,6,5940,138,8934,6579,15375,743
94,752,6,495,6,5940,138,9030,6579,15471,751
95,760,6,495,6,5940,138,9126,6579,15567,759
96,768,6,495,6,5940,138,9222,6579,15663,767
97,776,6,495,6,5940,138,9318,6579,15759,775
98,784,6,495,6,5940,138,9414,6579,15855,783
99,792,6,495,6,5940,138,9510,6579,15951,791
100,800,6,495,6,5940,138,9606,6579,16047,799
101,808,6,495,6,5940,138,9702,6579,16143,807
102,816,6,495,6,5940,138,9798,6579,16239,815
103,824,6,495,6,5940,138,9894,6579,16335,823
104,832,6,495,6,5940,138,9990,6579,16431,831
105,840,6,495,6,5940,138,10086,6579,16527,839
106,848,6,495,6,5940,138,10182,6579,16623,847
107,856,6,495,6,5940,138,10278,6579,16719,855
108,864,6,495,6,5940,138,10374,6579,16815,863
109,872,6,495,6,5940,138,10470,6579,16911,871
110,880,6,495,6,5940,138,10566,6579,17007,879
111,888,6,495,6,5940,138,10662,6579,17103,887
112,896,6,495,6,5940,138,10758,6579,17199,895
113,904,6,495,6,5940,138,10854,6579,17295,903
114,912,6,495,6,5940,138,10950,6579,17391,911
115,920,6,495,6,5940,138,11046,6579,17487,919
116,928,6,495,6,5940,138,11142,6579,17583,927
117,936,6,495,6,5940,138,11238,6579,17679,935
118,944,6,495,6,5940,138,11334,6579,17775,943
119,952,6,495,6,5940,138,11430,6579,17871,951
120,960,6,495,6,5940,138,11526,6579,17967,959
121,968,6,495,6,5940,138,11622,6579,18063,967
122,976,6,495,6,5940,138,11718,6579,18159,975
123,984,6,495,6,5940,138,11814,6579,18255,983
124,992,6,495,6,5940,138,11910,6579,18351,991
125,1000,6,495,6,5940,138,12006,6579,18447,999
126,1008,6,495,6,5940,138,12102,6579,18543,1007
127,1016,6,495,6,5940,138,12198,6579,18639,1015
128,1024,6,495,6,5940,138,12294,6579,18735,1023
129,1032,6,495,6,5940,150,12390,6591,18831,1031
130,1040,6,495,6,5940,150,12486,6591,18927,1039
131,1048,6,495,6,5940,150,12582,6591,19023,1047
132,1056,6,495,6,5940,150,12678,6591,19119,1055
133,1064,6,495,6,5940,150,12774,6591,19215,1063
134,1072,6,495,6,5940,150,12870,6591,19311,1071
135,1080,6,495,6,5940,150,12966,6591,19407,1079
136,1088,6,495,6,5940,150,13062,6591,19503,1087
137,1096,6,495,6,5940,150,13158,6591,19599,1095
138,1104,6,495,6,5940,150,13254,6591,19695,1103
139,1112,6,495,6,5940,150,13350,6591,19791,1111
140,1120,6,495,6,5940,150,13446,6591,19887,1119
141,1128,6,495,6,5940,150,13542,6591,19983,1127
