t,n_bits,p,prep_init,cost_total,prep_in_mixers,reflection_anc,reflection_noanc,total_depth_anc,total_depth_noanc,n_ancillas_anc
1,8,6,191,6,2292,54,102,2543,2591,7
2,16,6,191,6,2292,66,198,2555,2687,15
3,24,6,191,6,2292,78,294,2567,2783,23
4,32,6,191,6,2292,78,390,2567,2879,31
5,40,6,191,6,2292,90,486,2579,2975,39
6,48,6,191,6,2292,90,582,2579,3071,47
7,56,6,191,6,2292,90,678,2579,3167,55
8,64,6,191,6,2292,90,774,2579,3263,63
9,72,6,191,6,2292,102,870,2591,3359,71
10,80,6,191,6,2292,102,966,2591,3455,79
